Species,State,Sample type,PCR
Turkey vulture,California,blood,negative
Turkey vulture,California,blood,positive
Turkey vulture,California,blood,negative
Turkey vulture,California,tissue,negative
Turkey vulture,Florida,tissue,positive
Turkey vulture,Florida,blood,negative
Turkey vulture,Florida,blood,negative
Turkey vulture,Florida,blood,negative
Turkey vulture,Georgia,blood,negative
Turkey vulture,Georgia,tissue,negative
Turkey vulture,Georgia,blood,negative
Turkey vulture,Pennsylvania,blood,positive
Turkey vulture,Pennsylvania,blood,negative
Turkey vulture,South Carolina,blood,positive
Turkey vulture,South Carolina,blood,positive
Turkey vulture,South Carolina,blood,negative
Turkey vulture,Virginia,blood,positive
Turkey vulture,Virginia,tissue,negative
Turkey vulture,Virginia,blood,negative
Turkey vulture,Virginia,blood,negative
Black vulture,Georgia,blood,negative
Black vulture,Georgia,tissue,negative
Black vulture,Georgia,blood,negative
Black vulture,South Carolina,blood,negative
Black vulture,South Carolina,blood,negative
Black vulture,South Carolina,blood,negative
Black vulture,Virginia,blood,negative
Black vulture,Virginia,blood,negative
Black vulture,Virginia,blood,negative